id;sortorder;country;name;label
2459;;Finland;Kakkonen, Playoff;Kakkonen, Playoff
2536;;Finland;Kakkonen, Promotion;Kakkonen, Promotion
13978;;Finland;Kakkonen, Promotion Round;Kakkonen, Promotion Round
2943;;Finland;Liigacup, Group A;Liigacup, Group A
2945;;Finland;Liigacup, Group B;Liigacup, Group B
2946;;Finland;Liigacup, Group C;Liigacup, Group C
2947;;Finland;Liigacup, Group D;Liigacup, Group D
4268;;Finland;Liigacup, Knockout stage;Liigacup, Knockout stage
2043;;Finland;Naisten Liiga;Naisten Liiga
38664;;Finland;Naisten Liiga, Championship group;Naisten Liiga, Championship group
38665;;Finland;Naisten Liiga, Relegation group;Naisten Liiga, Relegation group
47501;;Finland;Naisten Liiga, Relegation/Promotion;Naisten Liiga, Relegation/Promotion
122;;Finland;Suomen Cup;Suomen Cup
31;;Finland;Veikkausliiga;Veikkausliiga
702;;Finland;Veikkausliiga, Relegation/Promotion;Veikkausliiga, Relegation/Promotion
527;;Finland;Ykkonen;Ykkonen
77;;France;Coupe de France;Coupe de France
884;;France;Coupe de la Ligue;Coupe de la Ligue
5397;;France;Division 1 Feminines;Division 1 Feminines
4;1;France;Ligue 1;Ligue 1
19;;France;Ligue 2;Ligue 2
950;;France;National;National
1356;;France;Trophee des Champions;Trophee des Champions
6067;;Georgia;Cup;Cup
46140;;Georgia;First League;First League
19717;;Georgia;First League, Relegation Group A;First League, Relegation Group A
19718;;Georgia;First League, Relegation Group B;First League, Relegation Group B
