UK;DK;;;;
;;Soccer;Croatia;1. HNL Relegation/Promotion;5768
;;Soccer;Croatia;2. HNL;4772
;;Soccer;Croatia;Croatia Cup;170
;;Soccer;Croatia;Super Cup;2235
;;Soccer;Cyprus;1st Division;681
;;Soccer;Cyprus;1st Division, Championship group;34363
;;Soccer;Cyprus;1st Division, Group A;20054
;;Soccer;Cyprus;1st Division, Group B;20055
;;Soccer;Cyprus;1st Division, Group C;20056
;;Soccer;Cyprus;1st Division, Relegation group;34364
;;Soccer;Cyprus;1st Division, Relegation/Promotion Playoffs;27793
;;Soccer;Cyprus;2nd Division;11076
;;Soccer;Cyprus;Cyprus Cup;838
;;Soccer;Cyprus;Cyprus Cup, Group 1;5554
;;Soccer;Cyprus;Cyprus Cup, Group 2;5555
;;Soccer;Cyprus;Supercup;6535
;;Soccer;Czech Republic;1. Liga;49
;;Soccer;Czech Republic;1. Liga, Women;5740
;;Soccer;Czech Republic;1. Liga, Women, Group A;20507
;;Soccer;Czech Republic;1. Liga, Women, Group B;20508
;;Soccer;Czech Republic;1. Liga, Women, Relegation/Promotion;16216
;;Soccer;Czech Republic;Cup;190
;;Soccer;Czech Republic;FNL;843
;;Soccer;Czech Republic;Super Cup;13214
;;Soccer;Czech Republic;U19 1st Division;10752
;;Soccer;Czech Republic;U19 1st Division, Relegation/Promotion Playoffs;16280
;;Soccer;Czech Republic;U21;22129
;;Soccer;Czech Republic;Winter League, Final round;24182
;;Soccer;Czech Republic;Winter League, Group A;24183
;;Soccer;Czech Republic;Winter League, Group B;24184
;;Soccer;Czech Republic;Winter League, Group C;24185
;;Soccer;Czech Republic;Winter League, Group D;24186
;;Soccer;Czech Republic;Winter League, Placement matches;25296
;1;Soccer;Denmark;1st Division;13
;1;Soccer;Denmark;2nd Division East;3422
;1;Soccer;Denmark;2nd Division West;3423
;1;Soccer;Denmark;2nd Division, Championship Group;49082
;1;Soccer;Denmark;2nd Division, Promotion Group;4484
;1;Soccer;Denmark;2nd Division, Pulje 1;45168
;1;Soccer;Denmark;2nd Division, Pulje 2;45169
;1;Soccer;Denmark;2nd Division, Pulje 3;45170
;1;Soccer;Denmark;2nd Division, Relegation Group;10881
